행정동,도로명주소,지번주소,위도,경도
창신동,서울특별시 종로구 종로53길 24,서울특별시 종로구 창신동 197-43,37.5734991,127.0135767
창신동,서울특별시 종로구 낙산성곽동길 69,서울특별시 종로구 창신동 622-2 창신제일어린이집,37.5785572,127.0085965
창신동,서울특별시 종로구 낙산성곽길 12-2,서울특별시 종로구 창신동 668-18,37.5725737,127.0095928
창신동,서울특별시 종로구 창신6길 22,서울특별시 종로구 창신동 595-242,37.5753399,127.0117411
숭인동,서울특별시 종로구 숭인동 2길 36-4,서울특별시 종로구 숭인동 178-3,37.5782102,127.0199111
숭인동,서울특별시 종로구 종로 63가길 31,서울특별시 종로구 숭인동 178-3,37.5754517,127.0186681
숭인동,서울특별시 종로구 종로63길 14,서울특별시 종로구 숭인동 72-167,37.5746772,127.0187121
숭인동,서울특별시 종로구 지봉로 12가길 56-2,서울특별시 종로구 숭인동 70-12 석문,37.5749954,127.0168853
숭인1동,서울특별시 종로구 종로63라길 11,서울특별시 종로구 숭인1동 72-34,37.5743572,127.0181616
숭인동,서울특별시 종로구 종로57길 22,서울특별시 종로구 숭인동 72-47,37.5743448,127.0166674
숭인동,서울특별시 종로구 지봉로 12길 9,서울특별시 종로구 숭인동 56-78 한일빌딩,37.5771592,127.0159625
숭인동,서울특별시 종로구 지봉로 12가길 9,서울특별시 종로구 숭인동 59,37.5767432,127.0168623
숭인동,서울특별시 종로구 지봉로 12길 25,서울특별시 종로구 숭인동 56-52,37.5773522,127.0164241
숭인동,서울특별시 종로구 지봉로 98,서울특별시 종로구 숭인동 52-6,37.5788141,127.0155897
숭인동,서울특별시 종로구 지봉로 12길 12,서울특별시 종로구 숭인동 56-59,37.5769454,127.0162597
