순서,도로명주소,위도,경도,수거쓰레기종류
104,서울특별시 종로구 동숭 4나길 27,37.5832001,127.0056705,의류
105,서울특별시 종로구 동숭 4나길 13,37.5832108,127.0048212,의류
106,서울특별시 종로구 동숭4가길 14,37.5838117,127.0044848,의류
107,서울특별시 종로구 동숭 4길 29,37.5839058,127.0049591,의류
108,서울특별시 종로구 창경궁로 35길 56,37.5882031,127.0027392,의류
109,서울특별시 종로구 창경궁로 35길 68,37.5882521,127.0032141,의류
110,서울특별시 종로구 혜화로 16길 29,37.5909561,127.0001095,의류
111,서울특별시 종로구 혜화로6길 59,37.5892907,127.0013661,의류
112,서울특별시 종로구 혜화로 10길 31,37.5886135,127.0012052,의류
113,서울특별시 종로구 혜화로 6길 30,37.5879478,127.0013273,의류
114,서울특별시 종로구 동숭 3길 29,37.5822802,127.0045165,의류
115,서울특별시 종로구 혜화로 12길 9,37.5894678,126.9999369,의류
116,서울특별시 종로구 혜화로 14길 19,37.5901936,127.0005273,의류
117,서울특별시 종로구 혜화로 16길 17,37.5907831,126.9999081,의류
118,서울특별시 종로구 혜화로 8길 13-17,37.5883538,127.0003255,의류
119,서울특별시 종로구 혜화로 8길 10,37.5879127,127.0003767,의류
120,서울특별시 종로구 성균관로 6길 45,37.5861277,126.9981361,의류
121,서울특별시 종로구 창경궁로 33길 35,37.5852475,126.9984648,의류
122,서울특별시 종로구 성균관로 4길 33,37.5848842,126.9991831,의류
123,서울특별시 종로구 창경궁로 33길 13,37.5842961,126.9988965,의류
124,서울특별시 종로구 성균관로 4길 38,37.5847782,126.9994449,의류
125,서울특별시 종로구 성균관로 4길 11,37.5848023,126.9980292,의류
126,서울특별시 종로구 혜화로 3길 55,37.5860244,126.9976392,의류
127,서울특별시 종로구 대학로 7길 18,37.5791698,127.0010936,의류
128,서울특별시 종로구 대학로 5길 16,37.5784859,127.0012046,의류
129,서울특별시 종로구 율곡로 13가길 18-17,37.5768728,127.0001054,의류
130,서울특별시 종로구 율곡로 13가길 14,37.5763597,127.0001688,의류
131,서울특별시 종로구 계동2길 22,37.5796944,126.9875811,의류
132,서울특별시 종로구 창덕궁1가길 19,37.5802295,126.9879917,의류
133,서울특별시 종로구 창덕궁3나길 1,37.5814243,126.9886208,의류
134,서울특별시 종로구 창덕궁3길 20,37.5819211,126.9887613,의류
135,서울특별시 종로구 창덕궁길 125,37.5828142,126.9888964,의류
136,서울특별시 종로구 창덕궁길 139,37.5829436,126.9882266,의류
137,서울특별시 종로구 창덕궁4길 40,37.5826645,126.9882531,의류
138,서울특별시 종로구 창덕궁3길 38,37.5823886,126.9886531,의류
139,서울특별시 종로구 창덕궁7길 5,37.5833354,126.9876779,의류
